album_id,album_name,artist_id,release_date
4929,Scary Hours,1162,2018-01-20
4950,Nice For What,1162,2018-04-06
4959,Back To Back,1162,2015-07-31
4963,What A Time To Be Alive,1162,2015-09-20
4968,More Than A Game,1162,2009-01-01
5052,Behind Barz (Bonus),1162,2019-09-13
5529,The Fix (Explicit Version),3214,2002-01-01
5530,Greatest Hits,3214,2010-01-01
5535,Greatest Hits,2851,1998-01-01
5536,Lethal Injection,3215,1993-12-07
5544,Terrorist Threats,3221,2003-12-09
5553,The Predator,3215,1992-11-17
5570,R U Still Down? [Remember Me],2851,1997-01-01
5584,Loyal To The Game,2851,2004-01-01
5619,400 Degreez,3269,1998-01-01
5624,"Def Jam 25, Vol. 9 - Welcome To The South (Explicit Version)",3214,2009-01-01
5630,Greatest Hits,3273,2001
5632,Mr. Scarface Is Back,3214,1991
5633,Greatest Hits,3269,2004-01-01
5688,The World Is Yours,3214,1993
5689,The Diary,3214,1994
5690,The Untouchable,3214,1997
5691,My Homies,3214,1998
5729,Juve The Great,3269,2003-01-01
5734,Tha G-Code,3269,1999-01-01
5882,Anthology: Through The Years,3410,2000-01-01
5915,Are You Gonna Go My Way,3432,1993-03-09
6140,Bow Down,3221,1996-01-01
6146,Death Certificate (25th Anniversary Edition),3215,2017-06-09
6180,Don't Be Cruel,3580,1988-01-01
6182,Let's Get It Started,3582,1988-01-01
6183,Greatest Hits,3582,1996-10-01
6197,So Far Gone,1162,2019-02-15
6204,Ready to Die (The Remaster),3593,1994-09-13
6234,Greatest Hits,3593,2007-03-05
6235,Bootlegs And B-Sides,3215,1994-11-22
6247,Started From the Bottom (Explicit Version),1162,2013-01-01
6249,The Motto (Explicit Version),1162,2012-01-01
6251,"Laugh Now, Cry Later",3215,2006-01-01
6257,Forever,1162,2009-01-01
6261,"Hold On, We're Going Home",1162,2013-08-06
6271,Illmatic XX,3610,1994
6278,The Score,3617,1996
6324,Take Care (Deluxe),1162,2011-11-15
6362,Helicopter,12,2014-03-10
6363,Wizard,12,2013-12-16
6369,Reality Check,3269,2006-02-27
6413,Ghetto Dreams,3273,1998-01-01
6419,Throwder Than Throwed 2k12,3273,2012-11-27
6424,Throwed In Da Game,3273,1998-10-13
6426,Ghetto Dreams,3273,1998-03-03
6553,Stillmatic,3610,2001-12-18
6554,God's Son,3610,2002-12-13
6555,Greatest Hits,3610,2007-11-06
6570,The Best of 2Pac - Pt. 1: Thug,2851,2007-12-04
6575,Life After Death (Deluxe Version),3593,1997-03-04
6578,NOTORIOUS Music From and Inspired by the Original Motion Picture,3593,2009-01-12
6582,Runnin' (Dying To Live),2851,2003-01-01
6583,Loyal To The Game,2851,2004-12-14
6663,Until The End Of Time,2851,2001-03-27
6664,Born Again,3593,1999
6665,The Essentials,3215,2008-01-01
6680,Death Certificate,3215,1991-10-29
6693,I Am the West,3215,2010-09-28
6790,2Pacalypse Now,2851,1991-11-12
6797,Life After Death (2014 Remastered Edition),3593,1997-03-04
6823,Illmatic,3610,1994-04-19
6828,The Diary,3214,1994-10-18
6830,Greatest Hits,3215,2001-12-04
6836,It Was Written,3610,1996-07-02
6848,Life After Death,3593,1997-03-04
6872,Greatest Hits,3221,2001-12-04
6875,Bow Down,3221,1996-10-22
6877,The Best Of Westside Connection,3221,2007-11-30
6878,2Pac Greatest Hits (Explicit Version),2851,1998-01-01
6883,Peace In The Ghetto (Remixes),2851,2017-06-21
6886,California Love,2851,2011-03-11
6888,I Am...,3610,1999-04-06
6892,War & Peace Vol. 2 (The Peace Disc),3215,2000-03-21
6894,2Pac Greatest Hits (Explicit Version),2851,1998-11-24
6959,The Best of 2Pac - Pt. 1: Thug (EDITED),2851,2007-12-04
7090,AmeriKKKa's Most Wanted,3215,1990-03-16
7093,Strictly 4 My N.I.G.G.A.Z...,2851,1993-02-16
7094,Duets: The Final Chapter,3593,2005-12-09
7139,Bad Boy's 10th Anniversary- The Hits,3593,2004-03-09
7143,The Best of 2Pac - Pt. 1: Thug,2851,2007-01-01
7146,2Pac Greatest Hits,2851,1998-01-01
7156,Resurrection (Music From And Inspired By The Motion Picture),2851,2003-10-28
7279,Ready to Die (The Remaster; 2015 Remaster),3593,1994-09-13
8200,Closer (Remixes),4,2016-09-23
8345,No Te Hagas,4485,2017-03-11
8435,Shadow Of Your Love,1058,2018-05-04
8436,Use Your Illusion II (Explicit Version),1058,1991-01-01
8437,Use Your Illusion I,1058,1991-01-01
8438,G N' R Lies,1058,1988-01-01
8439,The Spaghetti Incident?,1058,1993-01-01
8440,Chinese Democracy,1058,2008-01-01
8441,Chinese Democracy (Version 1),1058,2008-01-01
8442,Greatest Hits,1058,2004-01-01
8443,Use Your Illusion II,1058,1991-01-01
8444,Live Era '87-'93,1058,1999-01-01
8527,Born In The U.S.A.,1629,1984
8535,Heart,4551,1985-07-06
8574,Bad Animals,4551,1987-06-06
8652,News Of The World (2011 Remaster),1054,1977-10-28
8656,The Ultimate Collection,4643,2016-10-28
8661,Lean Into It [Expanded] (Japan),4646,1991
8671,Rumours,4650,1977-02-04
8676,Greatest Hits,4643,2014-03-28
8681,Distant Light [1999 - Remaster] (1999 Remastered Version),4653,1971-10-08
8712,Rumours (Super Deluxe),4650,1977-02-04
8713,Sheer Heart Attack (2011 Remaster),1054,1974-11-08
8714,Queen 40 Limited Edition Collector's Box Set Vol. 2,1054,2011-01-01
8715,News Of The World (Deluxe Remastered Version),1054,1977-10-28
8727,Who's Next (Deluxe Edition),4670,1971-08-14
8728,Tommy (Remastered 2013 Super Deluxe Edition),4670,1969-05-23
8730,Paranoid (2014 Remaster),4643,1970-09-18
8733,The Marshall Tucker Band,4672,1973
8737,Who Are You (Remastered),4670,1978-08-18
8739,The Who Sings My Generation (U.S. Version),4670,1966-04-01
8742,Born To Run,1629,1975-08-25
8770,The Band (Expanded Edition),4698,1969-09-22
8777,Dreamboat Annie,4551,1975
8778,Greatest Hits,4653,2003-03-03
8801,We Will Rock You,1054,1992
8807,Anthology,4718,1973
8901,It Is Time For A Love Revolution,3432,2008-02-05
8922,Queen (2011 Remaster),1054,1973-07-13
8923,Queen II (2011 Remaster),1054,1974-03-08
8924,A Night At The Opera (2011 Remaster),1054,1975-11-21
8925,A Day At The Races (2011 Remaster),1054,1976-12-10
8926,Jazz (2011 Remaster),1054,1978-11-10
8927,The Game (2011 Remaster),1054,1980-06-27
8928,Hot Space (2011 Remaster),1054,1982-05-03
8931,The Dirt (Est. 1981) [feat. Machine Gun Kelly],4789,2019-02-22
8932,Theatre of Pain,4789,1985
8933,Too Fast For Love,4789,1981
8935,A Day At The Races,1054,1976-12-10
8938,Dr. Feelgood 20th Anniversary (Expanded Version),4789,1989
8947,Dr. Feelgood,4789,1989
8949,Little Queen,4551,1977-05-14
8977,Metal Health,4820,1983
8987,Tom Petty & The Heartbreakers,3410,1976-11-09
9001,American Woman,4836,2000-07-10
9009,Who's Next,4670,1971-08-14
9032,Greatest Hits II,1054,1991-10-28
9034,Synchronicity,1649,1983-06-01
9036,The Game (Deluxe Remastered Version),1054,1980-06-27
9041,Wish,1554,1992-04-21
9042,Outlandos D'Amour,1649,1978-11-02
9048,Greatest Hits,4670,2009-12-21
9054,Full Moon Fever,1634,1989-01-01
9055,Quiet Riot - Greatest Hits,4820,1996
9058,Born In The U.S.A.,1629,1984-06-04
9072,Greatest Hits,3410,2010-01-01
9073,There Is Nothing Left To Lose,4858,1999-11-02
9087,Greatest Hits (2011 Remaster),1054,1981-10-26
9099,The Colour And The Shape,4858,1997-05-20
9107,Platinum & Gold Collection,4836,2003-05-06
9120,Greatest Hits,1634,2008-05-20
9130,Damn The Torpedoes (Deluxe Edition),3410,1979-10-19
9137,Who Are You,4670,1978-08-18
9138,Sheer Heart Attack (Deluxe Remastered Version),1054,1974-11-08
9141,A Day At The Races (Deluxe Remastered Version),1054,1976-12-10
9144,Who's Next (Expanded Edition),4670,1971-08-14
9152,Tuloy Ang Ligaya,4881,2001-10-25
9161,Rivermaya Greatest Hits 2006 (The Ultimate Collection),4881,2005-12-12
9175,Greatest Hits,4881,2001
9196,I Don't Wanna Get Wise,4670,2019-11-22
9198,Raise Vibration,3432,2018-09-07
9200,Western Stars,1629,2019-06-14
9206,Ball and Chain,4670,2019-09-13
9232,The Dirt Soundtrack,4789,2019-03-22
9233,All This Music Must Fade,4670,2019-10-03
9270,Fleetwood Mac,4650,1975-07-11
9283,Greatest Hits,4650,1988-11-21
9296,50 Years - Don't Stop,4650,2018-11-16
9301,Tango In the Night (Deluxe Edition),4650,1987-04-13
9312,The Greatest Hits,4789,2009
9317,Monster Metal Hits & Power Ballads '80s,4820,2007-04-01
9339,Greatest Hits II (2011 Remaster),1054,1991-10-28
9371,Appetite For Destruction (Explicit Version),1058,1987-01-01
9377,"Girls, Girls, Girls",4789,1987
9388,Reggatta De Blanc (Remastered),1649,1979-10-02
9401,A Kind Of Magic,1054,1986
9408,Paranoid,4643,1970-09-18
9434,Guitar Heroes: Rock Of The 80s,4820,2007-11-20
9456,Searchin' for a Rainbow,4672,1975-08-01
9457,Where a Country Boy Belongs,4672,2006-01-01
9458,Greatest Hits,4672,2011-01-01
9463,Jericho,4698,1993-11-02
9464,Capitol Rarities 1968-1977 (Remastered),4698,2015-01-01
9465,Greatest Hits,4698,2000-01-01
9472,Stage Fright (Expanded Edition),4698,1970-08-17
9500,The Ultimate Collection,4670,2002-06-11
9501,Into The Great Wide Open,3410,1991-01-01
9505,Greatest Hits,3410,1993-11-16
9507,Greatest Hits,1054,1981-10-26
9508,Every Breath You Take : The Classics,1649,1995-01-01
9517,Wildflowers,1634,1994-10-21
9519,Greatest Hits,3432,2000
9570,A Night At The Opera (Deluxe Remastered Version),1054,1975-11-21
9575,It's Hard,4670,1982-09-04
9578,Bohemian Rhapsody (The Original Soundtrack),1054,2018-10-19
9599,Quadrophenia (Super Deluxe Edition),4670,1973-10-19
9601,Fleetwood Mac (Deluxe Edition),4650,1975-07-11
9610,Reggatta De Blanc,1649,1979-10-02
9618,Paranoid (Remastered),4643,1970-09-18
9643,Greatest Hits,4858,2009-11-03
9651,Synchronicity (Remastered),1649,1983-06-01
9657,The Essential Heart,4551,2002-11-26
9669,Greatest Hits,5080,1972-06-14
9689,Greatest Hits,4836,1999
9692,Greatest Hits,4718,1970-11-21
9707,Every Breath You Take The Classics,1649,2003-01-01
9718,20 Golden Greats,4653,1978-07-01
9735,Anthology: Through The Years,3410,2000-10-31
9771,Thirty Years Of Maximum R&B,4670,1994-01-01
9779,Queen 40 Limited Edition Collector's Box Set,1054,2011-01-01
9806,Greatest Hits,1634,2008-01-01
9816,Tango In The Night,4650,1987-04-13
9858,Wish,1554,1992-01-01
9879,Synchronicity (Remastered 2003),1649,1983-06-17
9921,Use Your Illusion II,1058,1991-09-17
9934,Paranoid (2009 Remastered Version),4643,1970-09-18
9937,"Wednesday Morning, 3 A.M.",5080,1964-10-19
9940,"Echoes, Silence, Patience & Grace",4858,2007-09-25
9947,Outlandos D'Amour (Remastered 2003),1649,1978-11-02
10127,Disintegration (Deluxe Edition),1554,1989-05-02
10141,Seventeen Seconds (Deluxe Edition),1554,1980-04-18
10142,Three Imaginary Boys [Deluxe Edition],1554,1979-05-11
10143,"Kiss Me, Kiss Me, Kiss Me",1554,1987-05-25
10144,The Head On The Door,1554,1985-08-26
10176,Seventeen Seconds,1554,1980-04-18
10182,Smash,1006,1994-04-08
10195,Sonic Highways,4858,2014-11-09
10196,Wasting Light,4858,2011-04-12
10197,Skin And Bones,4858,2006-11-07
10206,Americana,1006,1998-11-16
10213,Americana,1006,1998-11-17
10227,"Kiss Me, Kiss Me, Kiss Me",1554,1987-01-01
10287,Reggatta De Blanc (Remastered 2003),1649,1979-10-02
10344,Outlandos D'Amour (Remastered),1649,1978-11-02
10349,Lenny,3432,2001-01-01
10372,Greatest Hits,1006,2005-06-21
10385,Fleetwood Mac (2017 Remaster),4650,1975-07-11
10389,The Head on the Door (Deluxed Edition),1554,1985-08-26
10397,The Who Hits 50 (Deluxe Edition),4670,2014-01-01
10403,Bookends,5080,1968-04-03
10404,I Need You (Live),3410,2018-02-09
10408,My Generation,4670,1965-12-03
10414,A Night At The Opera (Deluxe Edition 2011 Remaster),1054,1975-11-21
10420,The Head On The Door (Remastered),1554,1985-08-26
10544,Greatest Hits,1649,1992-01-01
10681,Hollywood Cowboys,4820,2019-11-08
10740,Mr. Big,4646,1989-06-13
10750,Shout At The Devil,4789,1983
10898,Appetite For Destruction / G N'R Lies / The Spaghetti Incident,1058,2001
10926,My Generation (Deluxe Edition),4670,1965-12-03
10928,Greatest Hits,1629,2009-06-01
10933,"You're Gonna Go Far, Kid",1006,2008-11-28
10940,Greatest Hits (EU Version),1058,2004-03-15
10955,Magic,1629,2007-10-02
10957,5,3432,1998-05-12
10990,Concrete and Gold,4858,2017-09-15
11101,Absolute Rock Anthems,4643,2008-07-07
11104,Absolute Rock Anthems,4551,2008-07-07
11107,Dr. Feelgood (Enhanced),4789,1989
11108,The Best Of Mötley Crüe 20th Century Masters The Millennium Collection (Ecopak),4789,2003
11109,Absolute Rock Anthems,4670,2008-07-07
11110,My Generation - The Very Best Of The Who,4670,1996-08-27
11116,Lords Of Dogtown,4643,2005
11120,Colour Collection (International Version),4789,2007-10-17
11130,Playlist: The Very Best Of Quiet Riot,4820,1983
11131,Greatest Hits,4820,2007-12-04
11327,Greatest Hits,1554,2001-11-13
11333,Greatest Hits,4646,2004-05-25
11339,Greatest Hits,4789,1999-01-01
11354,Playlist: The Very Best Of Heart,4551,2008
11377,Black Sabbath Vol. 4 (Remastered),4643,1972-09-25
11378,Master Of Reality (Remastered),4643,1971-07-21
11379,Sabbath Bloody Sabbath (Remastered),4643,1973-12-01
11380,Technical Ecstasy (Remastered),4643,1976-09-25
11387,Greatest Hits,4551,1998
11388,The Best Of The Guess Who,4836,1971
11394,Heaven & Hell (Deluxe Edition),4643,1980-04-25
11404,Greatest Hits,4643,2009
12133,All We Know (Oliver Heldens Remix),4,2016-12-16
12419,Sick Boy...Siren,4,2018-10-26
12545,Alma Caribeña,6453,2000-04-10
12555,Mi Tierra,6453,1993-06-03
12845,Greatest Hits,4485,2014-06-16
12890,Exitos de gloria estefan,6453,1990-09-25
12891,Cuts Both Ways,6453,1989-07-11
12892,Amor Y Suerte (Spanish Greatest Hits),6453,1993
12893,Anything For You,6453,1987-06-09
12894,Cuts Both Ways,6453,1989-07-06
12895,Gloria!,6453,1998-04-20
12896,Exitos de gloria estefan,6453,1990-09-16
12897,Greatest Hits,6453,1985
12898,Into The Light,6453,1991-01-23
12899,Abriendo Puertas,6453,1995-08-03
12900,Miss Little Havana (Latin America/Iberia Version),6453,2011-01-01
12901,Let It Loose/Cuts Both Ways/Into The Light (3 Pak),6453,1987
12902,The Very Best Of Gloria Estefan (English Version),6453,1984
12903,Greatest Hits,456,2005-10-25
12904,"Hold Me, Thrill Me, Kiss Me",6453,1994-10-14
12905,La Reina Y Sus Amigos,6453,2009-11-16
12906,DESTINY,6453,1996-05-08
12908,90 Millas,6453,2007-08-06
12909,One Day at a Time (From the Netflix Original Series),6453,2017-01-13
12911,Oye Mi Canto...Los Éxitos,6453,1989
12912,Unwrapped,6453,2003-08-27
12913,"Hold Me, Thrill Me, Kiss Me",6453,1994
13844,Mala Suerte (Remix) [feat. Ken-Y],4485,2019-04-05
14029,Greatest Hits,7078,2003-01-01
14076,Overdose,7078,2003
14288,Fake Love,1162,2016-10-24
15051,R&B: From Doo-Wop To Hip-Hop,7576,1999-10-08
15078,My Name Is Joe,7601,2000-04-18
15128,Greatest Hits,7646,1990
15133,Pandemonium!,7649,2002-12-10
15146,Care Package,1162,2019-08-02
15198,All That I Am,7601,1997-09-23
15302,If You're Reading This It's Too Late,1162,2015-02-12
15343,0 To 100 / The Catch Up,1162,2013-07-14
15358,Nothing Was The Same (Deluxe),1162,2013-01-01
15806,Memoirs of an imperfect Angel,386,2009-01-01
15949,The Senior,7576,2003-04-08
15968,"NOW That's What I Call Music!, Vol. 70",4,2019-05-03
16193,Sick Boy,4,2018-01-17
16217,Signs,1162,2017-06-23
16302,Ready To Die,3593,1994
16339,"Smooth Love Jams of the 90's, Vol. 1",7646,1996-02-29
16341,Don't Be Cruel,3580,1988-06-20
16344,Greatest Hits,8282,2000-01-01
16378,Daydream,386,1995-09-26
16381,Keep It Goin' On,7646,1992-09-04
16406,Gold,3580,2009-01-01
16420,The Definitive Collection,3580,2006-01-01
16421,Bobby,3580,1992-01-01
16448,Gold,3580,2005-01-01
16470,'90s Soul Number 1's,3580,2007-01-01
16485,Everything,7601,1993-08-17
16486,Portrait,8282,1992-01-01
16487,Don't Be Cruel (Expanded),3580,1988-06-20
16493,Don't Be Cruel / Bobby,3580,1992-08-25
16514,Emotions,386,1991-09-17
16515,Music Box,386,1993-08-04
16536,Greatest Hits,7649,2004
16537,Greatest Hits,7601,2008-10-14
16546,90's Top 100,3582,2010-01-01
16560,100% Ginuwine,7576,1999-03-16
16566,90s R&B,7646,2014-09-26
16579,Remixes In The Key Of B,3580,1993-12-21
16580,Dance...Ya Know It!,3580,1989-10-26
16604,Forever,3580,1997-01-01
16624,Greatest Hits,3617,2003-03-25
16625,Ginuwine... The Bachelor,7576,1996-10-08
16630,Ghostbusters II,3580,1989-06-16
16641,Greatest Hits,386,2001-12-04
16642,Keep It Goin' On,7646,1992-08-10
16647,New Jack Swing - R&B Hip Hop Hits,8359,2011-01-01
16657,Me Against The World,2851,1995-01-01
16658,Nu-mixx Klazzics,2851,2003-10-07
16664,Greatest Hits,7576,1996
16692,Two Can Play That Game,3580,1992-08-25
16706,90's Soul Number 1's,3580,2007-01-01
16707,The Funky Headhunter,3582,1994-03-01
16708,Step Up: All In (Original Motion Picture Soundtrack),3580,2014-07-25
16738,"101 '80s Hits - New Wave, Old School Hip Hop, Hair Metal, Pop & Rock",8359,2010-11-01
16777,The Collection,8359,1998-01-01
16781,The Best Of Bobby Brown 20th Century Masters The Millennium Collection,3580,2005-01-01
16793,Greatest Hits,8359,2003-09-30
16837,Keep Calm & Party,7576,2016-03-11
16847,My Name Is Joe,386,2000-04-18
16856,Club Nouveau's Greatest Hits,8359,2003-09-30
16883,Please Hammer Don't Hurt 'Em,3582,1990-02-20
16886,Faithful,7646,1993-10-14
16997,Better Days,7601,2001-12-11
17322,Merry Christmas,386,1994-11-01
17743,The Score (Expanded Edition),3617,1996-02-13
17907,Ocean (feat. Khalid) [David Guetta Remix],12,2018-08-17
17939,Hold On (feat. Michel Zitron),12,2019-12-27
17972,Used To Love (with Dean Lewis) [Remixes],12,2019-12-20
17981,2019 Remixed,12,2019-12-31
18506,BYLAW EP,12,2018-10-19
18585,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Tiësto Remix],12,2019-06-21
18596,Dreamer (Remixes Vol. 1),12,2018-12-07
18620,Pizza,12,2017-08-25
18621,There For You: The Remixes,12,2017-08-18
18623,Honest (Remixes),4,2017-08-04
18637,Spinnin' Records ADE 2013 (Amsterdam Dance Event 2013),12,2013-10-05
18642,Virus (How About Now),12,2014-10-27
18646,Helicopter,12,2014-03-17
18647,Proxy,12,2014-03-07
18653,Break Through The Silence EP,12,2015-07-27
18654,Animals (The Remixes Part 1),12,2014-02-03
18660,Poison,12,2015-11-02
18664,Bouncybob (feat. Justin Mylo & Mesto),12,2015-12-31
18668,Now That I've Found You (feat. John & Michel),12,2016-03-11
18675,Oops,12,2016-06-13
18688,WIEE,12,2016-10-15
18689,Sun Is Never Going Down,12,2016-10-16
18690,Spotless,12,2016-10-17
18691,Together,12,2016-10-20
18699,Animals,12,2013-10-08
18700,Welcome,12,2016-10-19
18701,Error 404,12,2013-03-18
18704,Scared To Be Lonely Remixes Vol. 1,12,2017-03-17
18707,Scared To Be Lonely Remixes Vol. 2,12,2017-03-24
18708,Byte,12,2017-04-07
18734,Roses (Remixes),4,2016-01-01
18737,In The Name Of Love Remixes,12,2016-11-11
18751,So Far Away (Remixes Vol. 1),12,2017-12-29
18757,Game Over,12,2018-04-20
18764,Setting Fires (Remixes),4,2016-12-23
19335,Don't Look Down,12,2015-03-17
19336,The Only Way Is Up,12,2015-12-11
19338,Gold Skies,12,2014-07-01
19340,Wizard,12,2013-01-01
19380,Animals,12,2013-01-01
19551,Virus (How About Now),12,2015-02-13
19553,Helicopter (Video Edit),12,2014-03-10
19749,Don't Let Me Down (Remixes),4,2016-04-15
19936,Animals,12,2013-07-06
20144,Until You Were Gone,4,2015-09-18
20224,Takeaway - The Remixes,4,2019-11-01
20232,This Feeling - Remixes,4,2018-11-09
20248,Sick Boy (Remixes),4,2018-02-09
20250,Everybody Hates Me - Remixes,4,2018-03-30
20447,No Strings Attached,456,2000-03-21
20466,Until You Were Gone (Remixes),4,2015-12-18
20468,Don't Let Me Down (Hardwell & Sephyx Remix),4,2016-05-20
20490,Inside Out (DubVision Remix),4,2016-07-15
20507,Paris (Remixes),4,2017-02-17
20662,Who Do You Love (R3HAB Remix),4,2019-03-22
20689,You Owe Me - Remixes,4,2018-03-09
20891,Inside Out,4,2016-04-01
20913,Setting Fires,4,2016-11-04
21434,Animals (The Remixes Pt. 1),12,2014-01-27
21714,Waiting For Tomorrow (feat. Mike Shinoda),12,2018-10-18
21720,Access,12,2018-10-17
21721,Latency,12,2018-10-16
21852,Animals,12,2013-07-01
21944,Beach House (Ashworth Remix),4,2018-12-08
